DEPARTAMENTO,MUNICIPIO,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD 
AMAZONAS,LETICIA,2016-01-01,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
AMAZONAS,LETICIA,2016-01-04,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
AMAZONAS,LETICIA,2016-01-07,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
AMAZONAS,LETICIA,2016-01-07,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADULTOS,2
AMAZONAS,LETICIA,2016-01-08,MASCULINO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,ADULTOS,1
AMAZONAS,LETICIA,2016-01-08,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,2
AMAZONAS,LETICIA,2016-01-10,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
AMAZONAS,LETICIA,2016-01-10,MASCULINO,ARTÍCULO 226. INJURIA POR VÍAS DE HECHO,ADULTOS,1
AMAZONAS,LETICIA,2016-01-17,MASCULINO,ARTÍCULO 448. FUGA DE PRESOS,ADULTOS,1
AMAZONAS,LETICIA,2016-01-18,FEMENINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADOLESCENTES,1
AMAZONAS,LETICIA,2016-01-18,FEMENINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
AMAZONAS,LETICIA,2016-01-18,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,2016-01-20,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADOLESCENTES,1
AMAZONAS,LETICIA,2016-01-22,MASCULINO,ARTÍCULO 246. ESTAFA,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,2016-01-23,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
AMAZONAS,LETICIA,2016-01-24,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
AMAZONAS,LETICIA,2016-01-25,FEMENINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,1
AMAZONAS,LETICIA,2016-01-25,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADOLESCENTES,1
AMAZONAS,LETICIA,2016-01-25,MASCULINO,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ADULTOS,2
